essayID,random_id,condition,chars_produced_inclu_spac,chars_produced_per_min_inclu_spac,chars_produced_exclu_spac,chars_produced_per_min_exclu_spac,total_words_produced,total_words_produced_per_min,mean_word_length,median_word_length,sd_word_length,total_sents_produced,mean_chars_per_sent,median_chars_per_sent,sd_chars_per_sent,mean_words_per_sent,median_words_per_sent,sd_words_per_sent,total_paras_produced,mean_chars_per_para,median_chars_per_para,sd_chars_per_para,mean_words_per_para,median_words_per_para,sd_words_per_para,mean_sents_per_para,median_sents_per_para,sd_sents_per_para,total_process_time_secs,num_of_Pbursts,mean_length_Pbursts_secs,median_length_Pbursts_secs,sd_length_Pbursts_secs,mean_length_Pbursts_chars,median_length_Pbursts_chars,sd_length_Pbursts_chars,total_process_time_in_secs_threshold200,total_pause_time_in_secs_threshold200,total_number_of_pauses_threshold200,mean_pause_time_in_secs_threshold200,median_pause_time_in_secs_threshold200,sd_pause_time_threshold200,num_of_pause_within_words_threshold200,mean_pause_time_within_words_threshold200,median_pause_time_within_words_threshold200,sd_pause_time_within_words_threshold200,num_of_pause_before_words_threshold200,mean_pause_time_before_words_threshold200,median_pause_time_before_words_threshold200,sd_pause_time_before_words_threshold200,num_of_pause_after_words_threshold200,mean_pause_time_after_words_threshold200,median_pause_time_after_words_threshold200,sd_pause_time_after_words_threshold200,num_of_pause_between_words_threshold200,mean_pause_time_between_words_threshold200,median_pause_time_between_words_threshold200,sd_pause_time_betweenr_words_threshold200,num_of_pause_before_sents_threshold200,mean_pause_time_before_sents_threshold200,median_pause_time_before_sents_threshold200,sd_pause_time_before_sents_threshold200,num_of_pause_after_sents_threshold200,mean_pause_time_after_sents_threshold200,median_pause_time_after_sents_threshold200,sd_pause_time_after_sents_threshold200,num_of_pause_between_sents_threshold200,mean_pause_time_between_sents_threshold200,median_pause_time_between_sents_threshold200,sd_pause_time_between_sents_threshold200,num_of_pause_before_paras_threshold200,mean_pause_time_before_paras_threshold200,median_pause_time_before_paras_threshold200,sd_pause_time_before_paras_threshold200,num_of_pause_after_paras_threshold200,mean_pause_time_after_paras_threshold200,median_pause_time_after_paras_threshold200,sd_pause_time_after_paras_threshold200,num_of_pause_between_paras_threshold200,mean_pause_time_between_paras_threshold200,median_pause_time_between_paras_threshold200,sd_pause_time_between_paras_threshold200,total_process_time_in_secs_threshold2000,total_pause_time_in_secs_threshold2000,total_number_of_pauses_threshold2000,mean_pause_time_in_secs_threshold2000,median_pause_time_in_secs_threshold2000,sd_pause_time_threshold2000,num_of_pause_within_words_threshold2000,mean_pause_time_within_words_threshold2000,median_pause_time_within_words_threshold2000,sd_pause_time_within_words_threshold2000,num_of_pause_before_words_threshold2000,mean_pause_time_before_words_threshold2000,median_pause_time_before_words_threshold2000,sd_pause_time_before_words_threshold2000,num_of_pause_after_words_threshold2000,mean_pause_time_after_words_threshold2000,median_pause_time_after_words_threshold2000,sd_pause_time_after_words_threshold2000,num_of_pause_between_words_threshold2000,mean_pause_time_between_words_threshold2000,median_pause_time_between_words_threshold2000,sd_pause_time_betweenr_words_threshold2000,num_of_pause_before_sents_threshold2000,mean_pause_time_before_sents_threshold2000,median_pause_time_before_sents_threshold2000,sd_pause_time_before_sents_threshold2000,num_of_pause_after_sents_threshold2000,mean_pause_time_after_sents_threshold2000,median_pause_time_after_sents_threshold2000,sd_pause_time_after_sents_threshold2000,num_of_pause_between_sents_threshold2000,mean_pause_time_between_sents_threshold2000,median_pause_time_between_sents_threshold2000,sd_pause_time_between_sents_threshold2000,num_of_pause_before_paras_threshold2000,mean_pause_time_before_paras_threshold2000,median_pause_time_before_paras_threshold2000,sd_pause_time_before_paras_threshold2000,num_of_pause_after_paras_threshold2000,mean_pause_time_after_paras_threshold2000,median_pause_time_after_paras_threshold2000,sd_pause_time_after_paras_threshold2000,num_of_pause_between_paras_threshold2000,mean_pause_time_between_paras_threshold2000,median_pause_time_between_paras_threshold2000,sd_pause_time_between_paras_threshold2000,total_strokes,average_strokes_per_min,sd_strokes_per_min_5_intervals,sd_strokes_per_min_10_intervals,num_of_revisions,num_of_deletions,total_deletions_chars_inclu_space,total_deletions_chars_exclu_space,total_deletions_words,mean_deletion_length_chars,median_deletion_length_chars,mean_deletion_length_chars_exclu_space,median_deletion_length_chars_exclu_space,num_of_insertions,total_insertions_chars_inclu_space,total_insertions_chars_exclu_space,total_insertions_words,mean_insertion_length_chars,median_insertion_length_chars,mean_insertion_length_chars_exclu_space,median_insertion_length_chars_exclu_space,num_of_Rburst,mean_length_Rburst_sec,median_length_Rburst_sec,sd_length_Rburst_sec,mean_length_Rburst_chars,median_length_Rburst_chars,sd_length_Rburst_chars,product_process_ratio
1,4.45404E+14,transcribed,1840,80.464,1516,66.296,308,13.469,4.838,4,2.733,14,131.429,106,32.104,22,22,6.147,31,59.355,47,14.498,9.935,10,2.934,0.452,0,0.498,1372.036,102,13.451,7.38,NA,18.039,11,19.008,1372,1357.538,1853,0.732,0.383,0.383,1089,0.48,0.328,0.454,320,1.227,0.89,1.896,287,0.654,0.378,0.607,262,1.632,1.368,0.891,12,1.421,0.893,1.699,11,1.567,1.485,0.452,9,2.405,2.576,0.676,31,3.347,2.014,5.843,8,2.666,1.026,4.08,7,9.21,5.122,11.082,1372,378.172,102,3.707,2.574,2.574,23,2.642,2.196,0.865,39,3.817,2.688,4.537,9,2.914,2.295,1.048,203,3.759,3.23,1.335,2,4.557,4.557,NA,2,2.292,2.292,NA,7,3.833,2.951,1.529,16,5.481,3.079,7.518,2,8.136,8.136,NA,7,9.935,5.122,10.966,1519,67,10.68,12.7,47,43,46,45,10,1.07,1,1.047,1,4,1,1,0,0.25,0,0.25,0,77,14.234,12.116,11.723,19.338,18,15.279,0.967479675
2,5.11459E+14,transcribed,2015,77.149,1654,63.327,356,13.63,4.514,4,2.57,23,87.609,59,44.792,15.478,12,11.232,7,287.857,304,109.902,50.857,65,24.175,3.286,4,1.485,1567.094,106,14.783,8.679,NA,18.832,13,20.382,1567,1551.897,2084,0.744,0.407,0.407,1178,0.449,0.365,0.328,367,0.762,0.5,1.119,356,1.01,0.441,1.955,335,1.69,1.034,2.531,12,6.362,0.653,15.327,14,0.964,0.874,0.626,4,1.808,1.717,0.835,6,4.96,2.65,4.917,7,2.168,1.483,1.738,4,4.982,4.032,2.249,1567,524.764,108,4.858,3.03,3.03,13,2.546,2.303,0.664,17,4.475,3.323,3.21,38,4.462,3.013,4.586,324,4.538,3.717,3.537,5,14.658,4.796,21.114,1,2.425,2.425,NA,4,3.682,3.388,1.221,3,8.349,6.414,5.031,2,4.289,4.289,NA,4,6.68,6.459,1.354,1685,68,6.83,8.15,61,51,63,55,13,1.235,1,1.078,1,10,39,27,12,3.9,1,2.7,1,90,12.789,5.8635,15.082,17.578,8,21.38,0.959452858
3,4.27823E+14,transcribed,1537,278.703,1246,225.936,285,51.679,4.298,4,2.464,17,90.412,69,39.843,16.765,16,9.632,5,307.4,284,100.069,57,66,26.683,3.4,3,1.625,330.89,4,82.722,91.984,NA,384.25,369,289.126,330,169.94,415,0.409,0.256,0.256,187,0.29,0.231,0.153,98,0.384,0.3,0.253,51,0.299,0.241,0.154,261,0.607,0.455,0.365,3,2.496,0.217,3.225,9,0.405,0.304,0.294,13,0.615,0.467,0.406,3,0.901,0.79,0.352,8,0.651,0.453,0.426,4,1.584,1.785,0.415,330,26.864,4,6.716,6.469,6.469,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,7.057,7.057,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1247,232,26.84,37.83,20,19,66,57,19,3.474,3,3,2,1,2,2,1,2,2,2,2,27,10.111,7.237,11.603,45.259,30,51.924,0.94993498
4,6.67833E+14,transcribed,2773,84.42,2317,70.537,440,13.395,5.168,5,2.974,17,163.118,99,101.844,25.882,19,20.77,8,346.625,343.5,180.244,55,62.5,35.285,2.125,2.5,1.615,1970.868,117,16.845,9.682,6.88,23.701,14,27.628,1970,1909.602,2546,0.75,0.399,0.399,1564,0.516,0.334,0.582,421,1.235,0.906,2.052,378,0.729,0.42,1.223,402,2.032,1.442,2.82,19,0.942,0.464,1.468,12,4.75,1.68,9.418,11,5.837,2.383,9.665,6,1.977,1.223,1.784,9,1.545,0.991,1.846,6,3.606,2.583,2.558,1970,541.672,117,4.629,2.977,2.977,39,3.237,2.687,1.398,34,5.018,2.735,5.869,10,6.148,4.24,4.482,379,7.727,5.232,6.438,1,6.952,6.952,NA,4,11.88,4.369,13.76,11,8.205,4.802,9.63,2,3.988,3.988,NA,1,6.64,6.64,NA,6,7.672,7.304,3.014,2320,71,8.45,15.35,84,77,90,85,20,1.169,1,1.104,1,7,5,5,0,0.714,1,0.714,1,89,18.787,15.667,16.739,25.494,20,21.505,0.958243341
5,4.4422E+14,transcribed,1450,156.424,1215,131.073,237,25.567,5,4,2.842,9,161.111,134,42.249,26.333,23,7.272,3,483.333,454,186.549,79,88,32.873,3,3,0.816,556.18,12,46.348,27.68,11.131,120.833,43.5,134.066,556,411.825,546,0.754,0.271,0.271,306,0.609,0.251,4.201,108,0.434,0.269,0.54,61,0.689,0.28,1.662,216,0.825,0.531,1.039,1,5.853,5.853,NA,7,0.318,0.313,0.035,6,0.477,0.47,0.038,2,0.735,0.735,NA,1,0.58,0.58,NA,2,1.189,1.189,NA,556,200.531,12,16.71,2.671,2.671,3,26.015,2.221,33.772,2,3.595,3.595,NA,2,8.09,8.09,NA,130,9.197,13.209,4.92,1,5.853,5.853,NA,0,NA,NA,NA,4,8.24,8.221,4.951,0,NA,NA,NA,0,NA,NA,NA,1,13.988,13.988,NA,1219,133,61.1,85.43,32,32,53,42,15,1.656,0,1.312,0,0,0,0,0,0,0,0,0,36,11.056,5.6175,15.579,32.833,19,37.227,0.93136582
6,9.71838E+13,transcribed,2107,73.418,1734,60.421,351,12.23,4.789,4,2.944,17,123.941,108,67.499,20.647,18,13.653,4,526.75,438,84.064,87.75,94,14.149,4.25,4,0.433,1721.93,62,27.773,13.092,27.707,33.984,21.5,37.576,1721,1645.502,1297,1.268,0.569,0.569,630,0.578,0.365,0.661,289,1.052,0.757,1.895,208,2.256,0.648,18.053,318,1.826,1.277,2.492,21,11.111,0.454,46.164,14,2.912,1.057,5.976,13,3.717,1.884,6.143,3,1.519,1.399,0.714,5,2.569,2.25,1.697,2,3.937,3.937,NA,1721,874.679,62,14.107,4.045,4.045,11,4.556,4.817,1.79,16,5.793,3.341,6.181,16,21.699,3.636,61.85,281,18.783,4.209,53.713,2,110.496,110.496,NA,3,9.684,2.398,10.383,11,8.514,4.35,8.289,1,2.447,2.447,NA,3,3.684,3.513,1.246,2,3.937,3.937,NA,1736,70,17.33,27.43,74,69,67,65,17,0.971,0,0.942,0,5,4,4,1,0.8,1,0.8,1,83,14.771,7.423,29.422,20.217,12,18.653,0.947443182
7,2.6171E+14,transcribed,2025,115.788,1660,94.918,363,20.756,4.468,4,2.492,20,101.25,79.5,29.764,18.15,17,7.964,4,506.25,412,76.572,90.75,91.5,19.842,5,4.5,1.225,1049.329,62,16.924,9.583,NA,32.661,20.5,33.702,1049,977.315,1683,0.58,0.326,0.326,934,0.382,0.264,0.597,340,0.887,0.605,0.81,288,0.759,0.408,0.847,334,1.576,1.318,1.146,28,0.601,0.284,0.894,14,1.339,1.538,0.475,15,1.922,1.828,1.145,3,0.219,0.225,0.014,6,1.271,1.101,0.561,3,1.27,0.955,0.48,1049,198.553,62,3.202,2.6,2.6,8,4.611,2.895,4.123,31,2.866,2.57,1.193,15,3.368,2.673,1.63,286,4.033,3.498,1.466,3,3.099,3.121,0.647,0,NA,NA,NA,13,3.645,2.96,1.817,0,NA,NA,NA,1,2.272,2.272,NA,3,2.849,2.898,0.29,1662,96,3.31,9.26,28,27,32,27,10,1.185,1,1,1,1,1,1,0,1,1,1,1,35,28.086,18.782,32.868,46.171,31,52.17,0.980276134
8,9.42492E+14,transcribed,1598,288.205,1486,268.005,105,18.937,14.152,10,18.633,1,1598,1486,NA,105,105,NA,8,199.75,209,79.839,13.125,16.5,6.03,0.125,0,0.331,332.68,6,55.446,35.173,NA,266.333,301,117.138,332,234.6,163,1.439,0.264,0.264,83,1.726,0.227,8.581,49,0.351,0.308,0.157,15,4.047,0.303,13.929,94,14.794,0.653,24.303,1,2.661,2.661,NA,0,NA,NA,NA,0,NA,NA,NA,4,1.527,1.66,0.742,4,0.568,0.421,0.331,3,2.558,2.081,0.698,332,184.063,6,30.677,33.078,33.078,3,40.941,54.909,21.009,0,NA,NA,NA,1,56.162,56.162,NA,25,56.308,56.292,0.101,1,2.661,2.661,NA,0,NA,NA,NA,0,NA,NA,NA,1,2.418,2.418,NA,0,NA,NA,NA,1,2.418,2.418,NA,1487,271,116.07,203.95,1,1,12,9,2,12,12,9,9,0,0,0,0,0,0,0,0,13,24.385,10.224,30.353,114.385,118,108.359,0.990619137
9,3.1643E+14,transcribed,1876,134.032,1526,109.026,345,24.649,4.316,4,2.408,21,89.333,74,43.845,16.429,16,10.331,7,268,263,144.16,49.286,54,33.23,3,4,2.33,839.798,24,34.991,12.348,28.173,78.167,17,106.625,839,684.675,863,0.793,0.313,0.313,338,0.363,0.26,0.286,244,0.53,0.375,0.479,157,0.514,0.29,0.49,313,0.993,0.79,0.66,25,1.739,0.377,4.901,14,0.681,0.358,0.503,15,1.418,1.141,0.686,4,9.553,5.158,11.103,6,1.278,0.61,1.683,5,4.599,1.27,5.222,839,309.022,24,12.875,4.88,4.88,0,NA,NA,NA,3,3.287,3.435,0.898,3,2.727,2.66,0.186,313,4.471,5.18,1.233,2,15.549,15.549,NA,1,2.005,2.005,NA,15,4.628,5.21,1.298,2,18.618,18.618,NA,1,5,5,NA,5,6.697,5.216,4.06,1527,110,3.92,50.17,41,36,64,51,22,1.778,1,1.417,1,5,7,6,1,1.4,1,1.2,1,47,11.277,3.296,17.662,31.702,9,46.044,0.959509856
10,6.04792E+13,transcribed,2082,89.462,1715,73.693,356,15.297,4.694,4,2.675,17,122.471,87,50.394,20.941,19,11.175,5,416.4,391,110.693,71.2,85,23.025,3.4,3,1.497,1396.34,95,14.698,6.392,19.622,21.916,11,22.789,1396,1227.578,983,1.248,0.328,0.328,508,0.447,0.256,1.242,293,2.696,1.128,12.896,85,0.66,0.287,0.798,322,3.007,1.507,12.317,16,1.045,0.274,2.033,10,1.459,1.505,0.851,13,1.68,1.984,0.922,1,1.256,1.256,NA,6,0.886,0.944,0.437,3,0.955,0.815,0.486,1396,744.754,95,7.839,2.713,2.713,6,6.795,2.5,9.04,72,8.283,2.653,25.186,7,2.882,2.584,0.873,270,5.99,4.514,13.594,2,5.593,5.593,NA,1,3.367,3.367,NA,9,3.608,3.6,0.933,0,NA,NA,NA,0,NA,NA,NA,3,3.643,3.535,1.122,1716,75,31.49,36.65,36,35,66,58,17,1.886,1,1.657,1,1,0,0,0,0,0,0,0,44,28.159,14.64,48.621,37.909,28,38.458,0.961113778
